Common Name,Photo Filename,Scientific Name,Family,Latitude,Longitude
Bangalow Palm,Bangalow Palm_01.png,Archontophoenix cunninghami ,Arecaceae,-34.406105,150.878998
Black Plum,Black Plum_01.png,Diospyros australis ,Ebenaceae,-34.407286,150.879269
Blackbutt,Blackbutt_01.png,Eucalyptus pilularis ,Myrtaceae,-34.407021,150.879062
Blue Box,Blue Box_01.png,Eucalyptus baueriana ,Myrtaceae,-34.406848,150.880715
Blueberry Ash,Blueberry Ash_01.png,Elaeocarpus reticulatus ,Elaeocarpaceae,-34.404919,150.878561
Bolwarra,Bolwarra_01.png,Eupomatia laurina,Eupomatiaceae,-34.406558,150.879315
Bonewood,Bonewood_01.png,Emmenosperma alphitonioides ,Rhamnaceae,-34.406844,150.880678
Broad-leaved Paperbark,Broad-leaved Paperbark_01.png,Melaleuca quinquenervia ,Myrtaceae,-34.4051364,150.8786228
Brush Cherry,Brush Cherry_01.png,Syzygium australe,Myrtaceae,-34.404335,150.878144
Brush Muttonwood,Brush Muttonwood_01.png,Myrsine howittiana,Primulaceae,-34.406767,150.879652
Cabbage Gum,Cabbage Gum_01.png,Eucalyptus amplifolia,Myrtaceae,-34.4048,150.878858
Cabbage Tree Palm,Cabbage Tree Palm_01.png,Livistona australis ,Arecaceae,-34.407148,150.879051
Cheese Tree,Cheese Tree_01.png,Glochidion ferdinandi ,Phyllanthaceae,-34.4060425,150.8806698
Coachwood,Coachwood_01.png,Ceratopetalum apetalum ,Cunoniaceae,-34.406573,150.879338
Coast Grey Box,Coast Grey Box_01.png,Eucalyptus bosistoana ,Myrtaceae,-34.406608,150.879628
Flooded Gum,Flooded Gum_01.png,Eucalyptus grandis ,Myrtaceae,-34.405828,150.879056
Forest Oak,Forest Oak_01.png,Allocasuarina torulosa ,Casuarinaceae,-34.405201,150.878772
Forest Red Gum,Forest Red Gum_01.png,Eucalyptus tereticornis ,Myrtaceae,-34.407354,150.879661
Grey Ironbark,Grey Ironbark_01.png,Eucalyptus paniculata ,Myrtaceae,-34.406725,150.8804143
Guioa,Guioa_01.png,Guioa semiglauca,Sapindaceae,-34.405282,150.878717
Illawarra Flame Tree,Illawarra Flame Tree_01.png,Brachychiton acerifolia ,Malvaceae,-34.407333,150.879727
Illawarra Plum Pine,Illawarra Plum Pine_01.png,Podocarpus elatus ,Podocarpaceae,-34.407212,150.87917
Jackwood,Jackwood_01.png,Cryptocarya glaucescens,Lauraceae,-34.407303,150.879267
Large-leaved Mock-olive,Large-leaved Mock-olive_01.png,Notelaea venosa,Oleaceae,-34.406833,150.879721
Lilly Pilly,Lilly Pilly_01.png,Syzygium smithii,Myrtaceae,-34.406687,150.879502
Morton Bay Fig,Morton Bay Fig_01.png,Ficus macrophylla ,Moraceae,-34.407147,150.879275
Native Holly,Native Holly_01.png,Alchornea ilicifolia,Euphorbiaceae,-34.406643,150.8795
Native Quince,Native Quince_01.png,Alectryon subcinereus ,Sapindaceae,-34.407307,150.879354
Native Rosella,Native Rosella_01.png,Hibiscus heterophyllus,Malvaceae,-34.404346,150.878987
Native Tamarind,Native Tamarind_01.png,Diploglottis cunninghamii ,Sapindaceae,-34.406101,150.879149
Pencil Cedar,Pencil Cedar_01.png,Polyscias murrayi ,Araliaceae,-34.405935,150.879367
Port Jackson Fig,Port Jackson Fig_01.png,Ficus rubiginosa ,Moraceae,-34.405541,150.878362
Prickly-leaved Tea Tree,Prickly-leaved Tea Tree_01.png,Melaleuca styphelioides ,Myrtaceae,-34.405595,150.878981
Red Cedar,Red Cedar_01.png,Toona ciliata ,Meliaceae,-34.406187,150.879128
River Oak,River Oak_01.png,Casuarina cunninghamiana ,Casuarinaceae,-34.405558,150.878927
Rough-barked Apple,Rough-barked Apple_01.png,Angophora floribunda ,Myrtaceae,-34.4056528,150.8781089
Sandpaper Fig,Sandpaper Fig_01.png,Ficus coronata ,Moraceae,-34.4059209,150.8807154
Snow in Summer,Snow in Summer_01.png,Melaleuca linarifolia ,Myrtaceae,-34.4051241,150.8785683
Snow wood,Snow wood_01.png,Pararchidendron pruinosum ,Fabaceae,-34.407361,150.879453
Spotted Gum,Spotted Gum_01.png,Corymbia maculata ,Myrtaceae,-34.406736,150.879688
Swamp Mahogany,Swamp Mahogany_01.png,Eucalyptus robusta ,Myrtaceae,-34.406208,150.879543
Swamp Oak,Swamp Oak_01.png,Casuarina glauca ,Casuarinaceae,-34.404319,150.878979
Sydney Red Gum,Sydney Red Gum_01.png,Angophora costata ,Myrtaceae,-34.405653,150.878062
Turpentine,Turpentine_01.png,Syncarpia glomulifera ,Myrtaceae,-34.404752,150.881022
Whalebone Tree,Whalebone Tree_01.png,Streblus brunonianus ,Moraceae,-34.404852,150.878628
White Beech,White Beech_01.png,Gmelina leichhardtii ,Lamiaceae,-34.406851,150.880675
White Cedar,White Cedar_01.png,Melia azedarach ,Meliaceae,-34.4062148,150.8806539
White Euodia,White Euodia_01.png,Melicope micrococca ,Rutaceae,-34.406858,150.880649
Woollybutt,Woollybutt_01.png,Eucalyptus longifolia ,Myrtaceae,-34.40475,150.879661
